Time	JDQ327	JDQ328	JDQ333	JDQ334	JDQ336	JDQ337	JFZ335	JFZ336
25/09/2025 12:49:20	0	0	0	0	0	0	0	0
25/09/2025 12:54:20	0	0	0	0	0	0	0	0
25/09/2025 12:59:20	0	0	0	0	0	0	0	0
25/09/2025 13:04:20	0	0	0	0	0	0	0	0
25/09/2025 13:09:20	0	0	0	0	0	0	0	0
25/09/2025 13:14:20	0	0	0	0	0	0	0	0
25/09/2025 13:19:20	0	0	0	0	0	0	0	0
25/09/2025 13:24:20	0	0	0	0	0	0	0	0
25/09/2025 13:29:20	0	0	0	0	0	0	0	0
25/09/2025 13:34:20	0	0	0	0	0	0	0	0
25/09/2025 13:39:20	0	1	0	0	0	0	0	0
25/09/2025 13:44:20	0	1	0	0	0	0	0	0
25/09/2025 13:49:20	0	1	0	0	0	0	0	0
25/09/2025 13:54:20	0	2	0	0	0	0	0	0
25/09/2025 13:59:20	0	4	0	0	0	0	0	0
25/09/2025 14:04:20	0	0	0	0	0	0	0	0
25/09/2025 14:09:20	0	0	0	0	0	0	0	0
25/09/2025 14:14:20	0	0	0	13	0	0	0	0
25/09/2025 14:19:20	0	1	0	0	0	0	0	0
25/09/2025 14:24:20	0	0	0	0	0	0	0	0
25/09/2025 14:29:20	0	0	0	0	0	0	0	0
25/09/2025 14:34:20	0	0	0	0	10	0	0	0
25/09/2025 14:39:20	0	0	0	0	0	0	0	0
25/09/2025 14:44:20	0	0	0	0	0	0	0	0
25/09/2025 14:49:20	0	0	0	0	0	0	0	0
25/09/2025 14:54:20	0	0	0	0	0	0	0	0
25/09/2025 14:59:20	0	0	0	0	0	0	0	0
25/09/2025 15:04:20	0	0	0	0	0	0	0	0
25/09/2025 15:09:20	0	0	0	0	0	0	0	0
25/09/2025 15:14:20	0	0	0	0	0	0	0	0
25/09/2025 15:19:20	0	0	0	0	0	0	0	0
25/09/2025 15:24:20	0	0	0	0	0	1	0	0
25/09/2025 15:29:20	0	0	0	0	0	0	0	0
25/09/2025 15:34:20	0	0	0	14	0	0	0	0
25/09/2025 15:39:20	37	0	0	8	0	0	0	0
25/09/2025 15:44:20	0	0	0	0	0	0	0	0
25/09/2025 15:49:20	6	0	0	0	0	0	0	2
25/09/2025 15:54:20	0	0	0	0	0	0	0	1
25/09/2025 15:59:20	1	0	0	0	0	0	0	1
25/09/2025 16:04:20	0	0	0	0	0	0	0	3
25/09/2025 16:09:20	0	0	0	0	0	0	0	3
25/09/2025 16:14:20	0	0	0	0	0	0	0	0
25/09/2025 16:19:20	0	0	0	0	0	0	0	1
25/09/2025 16:24:20	0	0	3	0	0	0	0	1
25/09/2025 16:29:20	0	0	0	0	0	0	0	0
25/09/2025 16:34:20	0	0	0	0	0	0	0	0
25/09/2025 16:39:20	0	2	0	0	0	0	0	0
25/09/2025 16:44:20	0	1	0	0	0	0	0	0
25/09/2025 16:49:20	0	0	0	0	0	0	0	0
25/09/2025 16:54:20	0	0	0	0	0	0	0	0
25/09/2025 16:59:20	0	0	0	0	6	34	0	0
25/09/2025 17:04:20	0	0	0	0	0	7	0	0
25/09/2025 17:09:20	0	0	0	0	0	0	0	0
